Isotope	State	Intensity (pps)	Proton current	Ion source	Info
68Er	Er159g	3.50E9	60	Re surface	
68Er	Er158g	1.20E10	60	TRILIS	
68Er	Er158g	8.10E9	60	TRILIS	FC difference laser on/off
69Tm	Tm158g	6.70E9	60	Re surface	
68Er	Er157g	1.30E10	60	TRILIS	
68Er	Er157g	7.50E9	60	TRILIS	FC difference laser on/off
70Yb	Yb157g	1.50E9	60	Re surface	
69Tm	Tm157g	1.60E9	60	Re surface	
68Er	Er157g	3.60E9	60	Re surface	
69Tm	Tm156g	3.90E8	60	Re surface	
68Er	Er156g	6.60E9	60	TRILIS	FC difference laser on/off
70Yb	Yb156g	2.70E8	60	Re surface	
68Er	Er155g	4.50E9	60	TRILIS	FC difference laser on/off
68Er	Er154g	1.70E9	60	TRILIS	FC difference laser on/off
68Er	Er153g	8.20E8	60	TRILIS	
68Er	Er153g	7.90E8	60	TRILIS	
69Tm	Tm153m1	1.10E6	60	Re surface	
69Tm	Tm153g	4.60E6	60	Re surface	
68Er	Er151g	8.00E7	60	TRILIS	
68Er	Er151g	5.80E7	60	TRILIS	
68Er	Er151m1	1.20E6	60	TRILIS	
68Er	Er151g	2.30E7	60	Re surface	
65Tb	Tb149g	3.70E8	60	Re surface	
68Er	Er149m1	2.10E7	60	TRILIS	
68Er	Er158g	1.40E10	60	TRILIS	
68Er	Er162g	1.10E10	60	TRILIS	FC difference laser on/off
68Er	Er163g	1.50E9	60	TRILIS	FC difference laser on/off
68Er	Er164g	9.60E9	60	TRILIS	FC difference laser on/off
55Cs	Cs126g	1.30E8	50	Re surface	rotating beam
70Yb	Yb154g	2.30E6	50	Re surface	rotating beam
71Lu	Lu156g	4.40E4	50	Re surface	rotating beam
71Lu	Lu156m1	1.70E4	50	Re surface	rotating beam
69Tm	Tm156g	6.20E9	50	Re surface	rotating beam
70Yb	Yb156g	5.40E8	50	Re surface	rotating beam
70Yb	Yb156g	5.40E8	50	Re surface	rotating beam
71Lu	Lu156g	5.30E4	50	Re surface	rotating beam
71Lu	Lu156m1	2.00E4	50	Re surface	rotating beam
69Tm	Tm156g	5.40E9	50	Re surface	rotating beam
70Yb	Yb156g	5.30E8	50	Re surface	rotating beam
70Yb	Yb156g	5.00E8	50	Re surface	rotating beam
3Li	Li8g	1.30E9	55	Re surface	rotating beam
3Li	Li11g	5.30E4	60	Re surface	rotating beam
3Li	Li8g	1.40E9	60	Re surface	rotating beam
3Li	Li11g	4.80E4	60	Re surface	rotating beam
3Li	Li8g	1.20E9	60	Re surface	rotating beam
3Li	Li8g	1.20E9	55	Re surface	rotating beam
11Na	Na26g	1.40E7	50	Re surface	rotating beam
11Na	Na26g	1.20E7	50	Re surface	rotating beam
11Na	Na28g	1.30E5	50	Re surface	rotating beam
55Cs	Cs126g	1.10E8	50	Re surface	rotating beam
3Li	Li8g	3.00E8	30	Re surface	
3Li	Li11g	1.10E4	30	Re surface	
3Li	Li11g	9.20E3	30	Re surface	rotating beam
3Li	Li11g	3.40E4	50	Re surface	rotating beam
3Li	Li8g	1.00E9	55	Re surface	rotating beam
3Li	Li8g	1.10E9	50	Re surface	rotating beam
3Li	Li11g	4.30E4	50	Re surface	rotating beam
3Li	Li8g	4.10E8	30	Re surface	
3Li	Li8g	7.00E8	40	Re surface	
3Li	Li9g	6.50E7	40	Re surface	
3Li	Li11g	2.20E4	40	Re surface	
47Ag	Ag110g	3.60E5	60	TRILIS	
49In	In110g	1.70E7	60	Re surface	
49In	In110m1	1.80E6	60	Re surface	
49In	In107g	1.70E6	60	Re surface	
49In	In107m1	9.20E3	60	Re surface	
47Ag	Ag104g	7.20E5	60	TRILIS	
47Ag	Ag104m1	1.60E5	60	TRILIS	
49In	In104g	1.50E3	60	Re surface	
47Ag	Ag107m1	6.00E5	60	TRILIS	
3Li	Li11g	1.20E4	65	Re surface	
3Li	Li9g	1.20E8	65	Re surface	
3Li	Li9g	5.20E7	50	Re surface	
3Li	Li9g	1.00E8	60	Re surface	
3Li	Li11g	2.30E4	65	Re surface	
3Li	Li9g	1.20E8	65	Re surface	
3Li	Li8g	1.40E9	65	Re surface	
3Li	Li8g	2.10E8	50	Re surface	
4Be	Be11g	3.60E6	50	TRILIS	
4Be	Be11g	4.30E6	50	TRILIS	
38Sr	Sr87m1	5.30E7	50	Re surface	
49In	In116m1	1.60E6	50	Re surface	
50Sn	Sn111g	2.30E7	50	TRILIS	
50Sn	Sn110g	1.90E7	50	TRILIS	
50Sn	Sn109g	2.50E6	50	TRILIS	
50Sn	Sn109g	2.50E6	50	TRILIS	
50Sn	Sn107g	1.40E4	50	TRILIS	
50Sn	Sn106g	2.90E3	50	TRILIS	
50Sn	Sn105g	4.60E2	50	TRILIS	
50Sn	Sn113g	4.30E7	50	TRILIS	
50Sn	Sn104g	3.00E1	50	TRILIS	
4Be	Be12g	4.00E3	50	TRILIS	
4Be	Be7g	7.00E7	50	TRILIS	
4Be	Be12g	6.90E3	50	TRILIS	
3Li	Li11g	6.20E3	40	Re surface	
3Li	Li9g	1.20E7	30	Re surface	
3Li	Li8g	1.50E8	30	Re surface	
49In	In106m1	2.00E4	70	Re surface	
